"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",1
"2",1602,"1111602","Caminha",3
"3",1603,"1111603","Melgaço",0
"4",1604,"1111604","Monção",0
"5",1605,"1111605","Paredes de Coura",0
"6",1606,"1111606","Ponte da Barca",5
"7",1607,"1111607","Ponte de Lima",5
"8",1608,"1111608","Valença",1
"9",1609,"1111609","Viana do Castelo",3
"10",1610,"1111610","Vila Nova de Cerveira",0
"11",301,"1120301","Amares",5
"12",302,"1120302","Barcelos",4
"13",303,"1120303","Braga",17
"14",306,"1120306","Esposende",0
"15",310,"1120310","Terras de Bouro",0
"16",313,"1120313","Vila Verde",6
"17",307,"1130307","Fafe",2
"18",308,"1130308","Guimarães",21
"19",309,"1130309","Póvoa de Lanhoso",8
"20",1314,"1131314","Santo Tirso",8
"21",1318,"1131318","Trofa",0
"22",311,"1130311","Vieira do Minho",3
"23",312,"1130312","Vila Nova de Famalicão",4
"24",314,"1130314","Vizela",1
"25",107,"1140107","Espinho",0
"26",1304,"1141304","Gondomar",6
"27",1306,"1141306","Maia",1
"28",1308,"1141308","Matosinhos",0
"29",1312,"1141312","Porto",0
"30",1313,"1141313","Póvoa de Varzim",0
"31",1315,"1141315","Valongo",1
"32",1316,"1141316","Vila do Conde",0
"33",1317,"1141317","Vila Nova de Gaia",2
"34",1301,"1151301","Amarante",13
"35",1302,"1151302","Baião",18
"36",304,"1150304","Cabeceiras de Basto",3
"37",106,"1150106","Castelo de Paiva",2
"38",305,"1150305","Celorico de Basto",10
"39",1804,"1151804","Cinfães",3
"40",1303,"1151303","Felgueiras",6
"41",1305,"1151305","Lousada",2
"42",1307,"1151307","Marco de Canaveses",3
"43",1705,"1151705","Mondim de Basto",4
"44",1309,"1151309","Paços de Ferreira",0
"45",1310,"1151310","Paredes",1
"46",1311,"1151311","Penafiel",1
"47",1813,"1151813","Resende",27
"48",1709,"1151709","Ribeira de Pena",4
"49",104,"1160104","Arouca",2
"50",113,"1160113","Oliveira de Azeméis",0
"51",109,"1160109","Santa Maria da Feira",1
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",0
"54",1701,"1171701","Alijó",13
"55",1801,"1171801","Armamar",6
"56",403,"1170403","Carrazeda de Ansiães",18
"57",404,"1170404","Freixo de Espada à Cinta",3
"58",1805,"1171805","Lamego",7
"59",1704,"1171704","Mesão Frio",1
"60",1807,"1171807","Moimenta da Beira",12
"61",1812,"1171812","Penedono",12
"62",1708,"1171708","Peso da Régua",1
"63",1710,"1171710","Sabrosa",5
"64",1711,"1171711","Santa Marta de Penaguião",4
"65",1815,"1171815","São João da Pesqueira",28
"66",1818,"1171818","Sernancelhe",20
"67",1819,"1171819","Tabuaço",4
"68",1820,"1171820","Tarouca",3
"69",409,"1170409","Torre de Moncorvo",12
"70",410,"1170410","Vila Flor",35
"71",914,"1170914","Vila Nova de Foz Côa",1
"72",1714,"1171714","Vila Real",12
"73",401,"1180401","Alfândega da Fé",77
"74",1702,"1181702","Boticas",8
"75",402,"1180402","Bragança",138
"76",1703,"1181703","Chaves",49
"77",405,"1180405","Macedo de Cavaleiros",98
"78",406,"1180406","Miranda do Douro",19
"79",407,"1180407","Mirandela",42
"80",408,"1180408","Mogadouro",42
"81",1706,"1181706","Montalegre",1
"82",1707,"1181707","Murça",20
"83",1712,"1181712","Valpaços",112
"84",1713,"1181713","Vila Pouca de Aguiar",4
"85",411,"1180411","Vimioso",44
"86",412,"1180412","Vinhais",156
"87",101,"1610101","Águeda",2
"88",102,"1610102","Albergaria-a-Velha",0
"89",103,"1610103","Anadia",6
"90",105,"1610105","Aveiro",1
"91",108,"1610108","Estarreja",0
"92",110,"1610110","Ílhavo",0
"93",111,"1610111","Mealhada",4
"94",112,"1610112","Murtosa",0
"95",114,"1610114","Oliveira do Bairro",5
"96",115,"1610115","Ovar",0
"97",117,"1610117","Sever do Vouga",0
"98",118,"1610118","Vagos",0
"99",602,"1620602","Cantanhede",19
"100",603,"1620603","Coimbra",15
"101",604,"1620604","Condeixa-a-Nova",9
"102",605,"1620605","Figueira da Foz",1
"103",608,"1620608","Mira",0
"104",610,"1620610","Montemor-o-Velho",1
"105",613,"1620613","Penacova",0
"106",615,"1620615","Soure",6
"107",1004,"1631004","Batalha",1
"108",1009,"1631009","Leiria",3
"109",1010,"1631010","Marinha Grande",0
"110",1015,"1631015","Pombal",5
"111",1016,"1631016","Porto de Mós",11
"112",1002,"1641002","Alvaiázere",1
"113",1003,"1641003","Ansião",3
"114",601,"1640601","Arganil",2
"115",1007,"1641007","Castanheira de Pêra",0
"116",1008,"1641008","Figueiró dos Vinhos",2
"117",606,"1640606","Góis",0
"118",607,"1640607","Lousã",1
"119",609,"1640609","Miranda do Corvo",7
"120",611,"1640611","Oliveira do Hospital",4
"121",612,"1640612","Pampilhosa da Serra",1
"122",1013,"1641013","Pedrógão Grande",2
"123",614,"1640614","Penela",5
