Muni_ID,Muni,Full_ID,springs_NO3
1601,ARCOS DE VALDEVEZ,1111601,ND
1602,CAMINHA,1111602,ND
1603,MELGAÇO,1111603,ND
1604,MONÇÃO,1111604,ND
1605,PAREDES DE COURA,1111605,ND
1606,PONTE DA BARCA,1111606,ND
1607,PONTE DE LIMA,1111607,ND
1608,VALENÇA,1111608,ND
1609,VIANA DO CASTELO,1111609,ND
1610,VILA NOVA DE CERVEIRA,1111610,ND
301,AMARES,1120301,ND
302,BARCELOS,1120302,ND
303,BRAGA,1120303,ND
306,ESPOSENDE,1120306,ND
310,TERRAS DE BOURO,1120310,ND
313,VILA VERDE,1120313,ND
307,FAFE,1130307,ND
308,GUIMARÃES,1130308,ND
309,PÓVOA DE LANHOSO,1130309,ND
311,VIEIRA DO MINHO,1130311,ND
312,VILA NOVA DE FAMALICÃO,1130312,ND
314,VIZELA,1130314,ND
1314,SANTO TIRSO,1131314,ND
1318,TROFA,1131318,ND
107,ESPINHO,1140107,ND
1304,GONDOMAR,1141304,ND
1306,MAIA,1141306,ND
1308,MATOSINHOS,1141308,ND
1312,PORTO,1141312,ND
1313,PÓVOA DE VARZIM,1141313,ND
1315,VALONGO,1141315,ND
1316,VILA DO CONDE,1141316,ND
1317,VILA NOVA DE GAIA,1141317,ND
106,CASTELO DE PAIVA,1150106,ND
304,CABECEIRAS DE BASTO,1150304,ND
305,CELORICO DE BASTO,1150305,ND
1301,AMARANTE,1151301,ND
1302,BAIÃO,1151302,ND
1303,FELGUEIRAS,1151303,ND
1305,LOUSADA,1151305,ND
1307,MARCO DE CANAVESES,1151307,ND
1309,PAÇOS DE FERREIRA,1151309,ND
1310,PAREDES,1151310,ND
1311,PENAFIEL,1151311,ND
1705,MONDIM DE BASTO,1151705,ND
1709,RIBEIRA DE PENA,1151709,ND
1804,CINFÃES,1151804,ND
1813,RESENDE,1151813,ND
104,AROUCA,1160104,ND
109,SANTA MARIA DA FEIRA,1160109,ND
113,OLIVEIRA DE AZEMÉIS,1160113,ND
116,SÃO JOÃO DA MADEIRA,1160116,ND
119,VALE DE CAMBRA,1160119,ND
403,CARRAZEDA DE ANSIÃES,1170403,ND
404,FREIXO DE ESPADA À CINTA,1170404,ND
409,TORRE DE MONCORVO,1170409,ND
410,VILA FLOR,1170410,ND
914,VILA NOVA DE FOZ CÔA,1170914,ND
1701,ALIJÓ,1171701,ND
1704,MESÃO FRIO,1171704,ND
1708,PESO DA RÉGUA,1171708,ND
1710,SABROSA,1171710,ND
1711,SANTA MARTA DE PENAGUIÃO,1171711,ND
1714,VILA REAL,1171714,ND
1801,ARMAMAR,1171801,ND
1805,LAMEGO,1171805,ND
1807,MOIMENTA DA BEIRA,1171807,ND
1812,PENEDONO,1171812,ND
1815,SÃO JOÃO DA PESQUEIRA,1171815,ND
1818,SERNANCELHE,1171818,ND
1819,TABUAÇO,1171819,ND
1820,TAROUCA,1171820,ND
401,ALFÂNDEGA DA FÉ,1180401,ND
402,BRAGANÇA,1180402,ND
405,MACEDO DE CAVALEIROS,1180405,ND
406,MIRANDA DO DOURO,1180406,ND
407,MIRANDELA,1180407,ND
408,MOGADOURO,1180408,ND
411,VIMIOSO,1180411,ND
412,VINHAIS,1180412,ND
1702,BOTICAS,1181702,ND
1703,CHAVES,1181703,ND
1706,MONTALEGRE,1181706,ND
1707,MURÇA,1181707,ND
1712,VALPAÇOS,1181712,ND
1713,VILA POUCA DE AGUIAR,1181713,ND
