"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",3.85
1602,"1111602","Caminha",0
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",3.85
1607,"1111607","Ponte de Lima",3.85
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",3.85
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",3.85
302,"1120302","Barcelos",3.85
303,"1120303","Braga",3.85
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",0
313,"1120313","Vila Verde",3.85
307,"1130307","Fafe",3.85
308,"1130308","Guimarães",3.85
309,"1130309","Póvoa de Lanhoso",3.85
1314,"1131314","Santo Tirso",3.85
1318,"1131318","Trofa",0
311,"1130311","Vieira do Minho",0
312,"1130312","Vila Nova de Famalicão",3.85
314,"1130314","Vizela",3.85
107,"1140107","Espinho",0
1304,"1141304","Gondomar",3.85
1306,"1141306","Maia",0
1308,"1141308","Matosinhos",0
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",0
1316,"1141316","Vila do Conde",3.85
1317,"1141317","Vila Nova de Gaia",3.85
1301,"1151301","Amarante",3.85
1302,"1151302","Baião",3.85
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",3.85
305,"1150305","Celorico de Basto",3.85
1804,"1151804","Cinfães",3.85
1303,"1151303","Felgueiras",3.85
1305,"1151305","Lousada",3.85
1307,"1151307","Marco de Canaveses",3.85
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",3.85
1311,"1151311","Penafiel",3.85
1813,"1151813","Resende",3.85
1709,"1151709","Ribeira de Pena",3.85
104,"1160104","Arouca",0
113,"1160113","Oliveira de Azeméis",3.85
109,"1160109","Santa Maria da Feira",0
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",3.85
1801,"1171801","Armamar",3.85
403,"1170403","Carrazeda de Ansiães",3.85
404,"1170404","Freixo de Espada à Cinta",3.85
1805,"1171805","Lamego",3.85
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",3.85
1812,"1171812","Penedono",3.85
1708,"1171708","Peso da Régua",3.85
1710,"1171710","Sabrosa",3.85
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",3.85
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",3.85
1820,"1171820","Tarouca",3.85
409,"1170409","Torre de Moncorvo",3.85
410,"1170410","Vila Flor",3.85
914,"1170914","Vila Nova de Foz Côa",3.85
1714,"1171714","Vila Real",3.85
401,"1180401","Alfândega da Fé",3.85
1702,"1181702","Boticas",0
402,"1180402","Bragança",3.85
1703,"1181703","Chaves",3.85
405,"1180405","Macedo de Cavaleiros",3.85
406,"1180406","Miranda do Douro",3.85
407,"1180407","Mirandela",3.85
408,"1180408","Mogadouro",3.85
1706,"1181706","Montalegre",0
1707,"1181707","Murça",3.85
1712,"1181712","Valpaços",3.85
1713,"1181713","Vila Pouca de Aguiar",0
411,"1180411","Vimioso",3.85
412,"1180412","Vinhais",3.85
101,"1610101","Águeda",4.9
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",4.9
105,"1610105","Aveiro",0
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",0
111,"1610111","Mealhada",4.9
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",4.9
115,"1610115","Ovar",0
117,"1610117","Sever do Vouga",4.9
118,"1610118","Vagos",0
602,"1620602","Cantanhede",4.9
603,"1620603","Coimbra",4.9
604,"1620604","Condeixa-a-Nova",4.9
605,"1620605","Figueira da Foz",4.9
608,"1620608","Mira",4.9
610,"1620610","Montemor-o-Velho",4.9
613,"1620613","Penacova",4.9
615,"1620615","Soure",4.9
1004,"1631004","Batalha",4.9
1009,"1631009","Leiria",4.9
1010,"1631010","Marinha Grande",4.9
1015,"1631015","Pombal",4.9
1016,"1631016","Porto de Mós",4.9
1002,"1641002","Alvaiázere",4.9
1003,"1641003","Ansião",0
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",4.9
606,"1640606","Góis",0
607,"1640607","Lousã",4.9
609,"1640609","Miranda do Corvo",4.9
611,"1640611","Oliveira do Hospital",4.9
612,"1640612","Pampilhosa da Serra",4.9
1013,"1641013","Pedrógão Grande",4.9
614,"1640614","Penela",0
616,"1640616","Tábua",4.9
617,"1640617","Vila Nova de Poiares",4.9
901,"1650901","Aguiar da Beira",4.9
1802,"1651802","Carregal do Sal",4.9
1803,"1651803","Castro Daire",4.9
1806,"1651806","Mangualde",4.9
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",4.9
1810,"1651810","Oliveira de Frades",4.9
1811,"1651811","Penalva do Castelo",4.9
1814,"1651814","Santa Comba Dão",4.9
1816,"1651816","São Pedro do Sul",4.9
1817,"1651817","Sátão",4.9
1821,"1651821","Tondela",4.9
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",4.9
1824,"1651824","Vouzela",0
1413,"1661413","Mação",4.9
506,"1660506","Oleiros",4.9
508,"1660508","Proença-a-Nova",4.9
509,"1660509","Sertã",4.9
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",4.9
906,"1670906","Gouveia",4.9
912,"1670912","Seia",4.9
902,"1680902","Almeida",4.9
903,"1680903","Celorico da Beira",4.9
904,"1680904","Figueira de Castelo Rodrigo",0
907,"1680907","Guarda",4.9
908,"1680908","Manteigas",0
909,"1680909","Meda",4.9
910,"1680910","Pinhel",4.9
911,"1680911","Sabugal",4.9
913,"1680913","Trancoso",4.9
502,"1690502","Castelo Branco",4.9
505,"1690505","Idanha-a-Nova",4.9
507,"1690507","Penamacor",4.9
511,"1690511","Vila Velha de Ródão",4.9
501,"16A0501","Belmonte",4.9
503,"16A0503","Covilhã",4.9
504,"16A0504","Fundão",4.9
1001,"16B1001","Alcobaça",5.17
1101,"16B1101","Alenquer",5.17
1102,"16B1102","Arruda dos Vinhos",5.17
1005,"16B1005","Bombarral",5.17
1104,"16B1104","Cadaval",5.17
1006,"16B1006","Caldas da Rainha",5.17
1108,"16B1108","Lourinhã",5.17
1011,"16B1011","Nazaré",5.17
1012,"16B1012","Óbidos",5.17
1014,"16B1014","Peniche",5.17
1112,"16B1112","Sobral de Monte Agraço",5.17
1113,"16B1113","Torres Vedras",5.17
1401,"16C1401","Abrantes",5.17
1402,"16C1402","Alcanena",5.17
1408,"16C1408","Constância",5.17
1410,"16C1410","Entroncamento",5.17
1411,"16C1411","Ferreira do Zêzere",5.17
1421,"16C1421","Ourém",5.17
1417,"16C1417","Sardoal",5.17
1418,"16C1418","Tomar",5.17
1419,"16C1419","Torres Novas",5.17
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",0
1106,"1711106","Lisboa",0
1107,"1711107","Loures",5.17
1109,"1711109","Mafra",5.17
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",5.17
1111,"1711111","Sintra",5.17
1114,"1711114","Vila Franca de Xira",5.17
1502,"1721502","Alcochete",0
1503,"1721503","Almada",0
1504,"1721504","Barreiro",0
1506,"1721506","Moita",5.17
1507,"1721507","Montijo",5.17
1508,"1721508","Palmela",5.17
1510,"1721510","Seixal",0
1511,"1721511","Sesimbra",5.17
1512,"1721512","Setúbal",5.17
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",4.93
211,"1810211","Odemira",4.93
1509,"1811509","Santiago do Cacém",4.93
1513,"1811513","Sines",4.93
1201,"1821201","Alter do Chão",4.93
1202,"1821202","Arronches",4.93
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",4.93
1205,"1821205","Castelo de Vide",4.93
1206,"1821206","Crato",0
1207,"1821207","Elvas",4.93
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",4.93
1210,"1821210","Marvão",0
1211,"1821211","Monforte",0
707,"1820707","Mora",4.93
1212,"1821212","Nisa",0
1213,"1821213","Ponte de Sor",4.93
1214,"1821214","Portalegre",4.93
701,"1830701","Alandroal",4.93
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",4.93
706,"1830706","Montemor-o-Novo",4.93
708,"1830708","Mourão",0
709,"1830709","Portel",0
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",4.93
1215,"1831215","Sousel",0
712,"1830712","Vendas Novas",4.93
713,"1830713","Viana do Alentejo",4.93
714,"1830714","Vila Viçosa",0
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",4.93
203,"1840203","Alvito",4.93
204,"1840204","Barrancos",0
205,"1840205","Beja",4.93
206,"1840206","Castro Verde",4.93
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",4.93
209,"1840209","Mértola",0
210,"1840210","Moura",0
212,"1840212","Ourique",0
213,"1840213","Serpa",4.93
214,"1840214","Vidigueira",0
1403,"1851403","Almeirim",5.17
1404,"1851404","Alpiarça",5.17
1103,"1851103","Azambuja",5.17
1405,"1851405","Benavente",5.17
1406,"1851406","Cartaxo",5.17
1407,"1851407","Chamusca",5.17
1409,"1851409","Coruche",5.17
1412,"1851412","Golegã",0
1414,"1851414","Rio Maior",5.17
1415,"1851415","Salvaterra de Magos",5.17
1416,"1851416","Santarém",5.17
801,"1500801","Albufeira",4.59
802,"1500802","Alcoutim",4.59
803,"1500803","Aljezur",4.59
804,"1500804","Castro Marim",4.59
805,"1500805","Faro",4.59
806,"1500806","Lagoa",4.59
807,"1500807","Lagos",4.59
808,"1500808","Loulé",4.59
809,"1500809","Monchique",4.59
810,"1500810","Olhão",4.59
811,"1500811","Portimão",4.59
812,"1500812","São Brás de Alportel",4.59
813,"1500813","Silves",4.59
814,"1500814","Tavira",4.59
815,"1500815","Vila do Bispo",0
816,"1500816","Vila Real de Santo António",4.59
