"Muni_ID","ID","Muni","forage_roots"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",391.14
1603,"1111603","Melgaço",10.24
1604,"1111604","Monção",52.74
1605,"1111605","Paredes de Coura",63.81
1606,"1111606","Ponte da Barca",85.63
1607,"1111607","Ponte de Lima",159.71
1608,"1111608","Valença",88.99
1609,"1111609","Viana do Castelo",831.33
1610,"1111610","Vila Nova de Cerveira",249.59
301,"1120301","Amares",0
302,"1120302","Barcelos",1757.1
303,"1120303","Braga",1007.09
306,"1120306","Esposende",592.74
310,"1120310","Terras de Bouro",12.57
313,"1120313","Vila Verde",13.9
307,"1130307","Fafe",175.79
308,"1130308","Guimarães",1353.42
309,"1130309","Póvoa de Lanhoso",13.14
1314,"1131314","Santo Tirso",173.25
1318,"1131318","Trofa",244.72
311,"1130311","Vieira do Minho",1.77
312,"1130312","Vila Nova de Famalicão",4238.14
314,"1130314","Vizela",0
107,"1140107","Espinho",1.09
1304,"1141304","Gondomar",88.6
1306,"1141306","Maia",200.02
1308,"1141308","Matosinhos",136.98
1312,"1141312","Porto",4.2
1313,"1141313","Póvoa de Varzim",526.33
1315,"1141315","Valongo",68.57
1316,"1141316","Vila do Conde",780.99
1317,"1141317","Vila Nova de Gaia",80.33
1301,"1151301","Amarante",92.88
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",53.43
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",75.47
1305,"1151305","Lousada",26.24
1307,"1151307","Marco de Canaveses",213.14
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",295.41
1310,"1151310","Paredes",188.52
1311,"1151311","Penafiel",0
1813,"1151813","Resende",6.9
1709,"1151709","Ribeira de Pena",0.47
104,"1160104","Arouca",437.9
113,"1160113","Oliveira de Azeméis",185.91
109,"1160109","Santa Maria da Feira",105.93
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",192.07
1701,"1171701","Alijó",0.46
1801,"1171801","Armamar",0.08
403,"1170403","Carrazeda de Ansiães",0.33
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",4.66
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",81.34
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",0.34
1710,"1171710","Sabrosa",0.16
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",3.85
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",0.43
1820,"1171820","Tarouca",8.42
409,"1170409","Torre de Moncorvo",4.38
410,"1170410","Vila Flor",0.01
914,"1170914","Vila Nova de Foz Côa",1.65
1714,"1171714","Vila Real",109.26
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0
402,"1180402","Bragança",52.5
1703,"1181703","Chaves",73.84
405,"1180405","Macedo de Cavaleiros",15.5
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",18.81
408,"1180408","Mogadouro",0
1706,"1181706","Montalegre",10.04
1707,"1181707","Murça",3.21
1712,"1181712","Valpaços",6.24
1713,"1181713","Vila Pouca de Aguiar",0
411,"1180411","Vimioso",0.19
412,"1180412","Vinhais",0.21
101,"1610101","Águeda",13
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",0
105,"1610105","Aveiro",377.87
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",149.83
111,"1610111","Mealhada",16.49
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",5.43
115,"1610115","Ovar",13.1
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",0
602,"1620602","Cantanhede",2.21
603,"1620603","Coimbra",55.81
604,"1620604","Condeixa-a-Nova",12.41
605,"1620605","Figueira da Foz",58.3
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",0.29
613,"1620613","Penacova",8.64
615,"1620615","Soure",15.34
1004,"1631004","Batalha",0.69
1009,"1631009","Leiria",591.8
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",202.71
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",0.34
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0.72
609,"1640609","Miranda do Corvo",0
611,"1640611","Oliveira do Hospital",11.03
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0
616,"1640616","Tábua",0
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",0
1802,"1651802","Carregal do Sal",0
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",0
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",0
1810,"1651810","Oliveira de Frades",55.94
1811,"1651811","Penalva do Castelo",0
1814,"1651814","Santa Comba Dão",0.37
1816,"1651816","São Pedro do Sul",217.08
1817,"1651817","Sátão",0
1821,"1651821","Tondela",160.72
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",46.63
1824,"1651824","Vouzela",120.4
1413,"1661413","Mação",0
506,"1660506","Oleiros",0
508,"1660508","Proença-a-Nova",0
509,"1660509","Sertã",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",0
912,"1670912","Seia",116.96
902,"1680902","Almeida",5.31
903,"1680903","Celorico da Beira",0
904,"1680904","Figueira de Castelo Rodrigo",0.08
907,"1680907","Guarda",216.37
908,"1680908","Manteigas",1.06
909,"1680909","Mêda",0
910,"1680910","Pinhel",2.92
911,"1680911","Sabugal",6.32
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",0
505,"1690505","Idanha-a-Nova",0
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de Ródão",0
501,"16A0501","Belmonte",0.33
503,"16A0503","Covilhã",0.1
504,"16A0504","Fundão",31.15
1001,"16B1001","Alcobaça",0.16
1101,"16B1101","Alenquer",10.09
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",96.9
1108,"16B1108","Lourinhã",17.31
1011,"16B1011","Nazaré",55.62
1012,"16B1012","Óbidos",91.01
1014,"16B1014","Peniche",383.79
1112,"16B1112","Sobral de Monte Agraço",0
1113,"16B1113","Torres Vedras",68.77
1401,"16C1401","Abrantes",42.21
1402,"16C1402","Alcanena",0
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",104.53
1417,"16C1417","Sardoal",0.09
1418,"16C1418","Tomar",57.55
1419,"16C1419","Torres Novas",0
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",0.36
1106,"1711106","Lisboa",0
1107,"1711107","Loures",228.13
1109,"1711109","Mafra",122.02
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",160.38
1114,"1711114","Vila Franca de Xira",440.48
1502,"1721502","Alcochete",0
1503,"1721503","Almada",7.67
1504,"1721504","Barreiro",0.51
1506,"1721506","Moita",54.7
1507,"1721507","Montijo",301.35
1508,"1721508","Palmela",279.84
1510,"1721510","Seixal",0
1511,"1721511","Sesimbra",61.07
1512,"1721512","Setúbal",39.4
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",5.98
211,"1810211","Odemira",0.49
1509,"1811509","Santiago do Cacém",0
1513,"1811513","Sines",322.92
1201,"1821201","Alter do Chão",0
1202,"1821202","Arronches",5.52
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",0
1205,"1821205","Castelo de Vide",16.12
1206,"1821206","Crato",2.42
1207,"1821207","Elvas",36.87
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",0.36
1210,"1821210","Marvão",0.52
1211,"1821211","Monforte",0
707,"1820707","Mora",0
1212,"1821212","Nisa",19.9
1213,"1821213","Ponte de Sor",4.27
1214,"1821214","Portalegre",124.46
701,"1830701","Alandroal",0
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",0
706,"1830706","Montemor-o-Novo",4.32
708,"1830708","Mourão",0
709,"1830709","Portel",444.66
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",2.63
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",0
714,"1830714","Vila Viçosa",0.04
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",0
203,"1840203","Alvito",0.05
204,"1840204","Barrancos",0
205,"1840205","Beja",0.06
206,"1840206","Castro Verde",60.62
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",0
209,"1840209","Mértola",0
210,"1840210","Moura",0.96
212,"1840212","Ourique",0
213,"1840213","Serpa",0
214,"1840214","Vidigueira",0.6
1403,"1851403","Almeirim",0
1404,"1851404","Alpiarça",0
1103,"1851103","Azambuja",2.38
1405,"1851405","Benavente",35.65
1406,"1851406","Cartaxo",0
1407,"1851407","Chamusca",12.8
1409,"1851409","Coruche",5.92
1412,"1851412","Golegã",0.21
1414,"1851414","Rio Maior",0
1415,"1851415","Salvaterra de Magos",0.03
1416,"1851416","Santarém",52.28
801,"1500801","Albufeira",77.71
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",1.58
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",1.36
807,"1500807","Lagos",223.4
808,"1500808","Loulé",37.81
809,"1500809","Monchique",0
