"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",57
1603,"1111603","Melgaço",0
1604,"1111604","Monção",57
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",57
1607,"1111607","Ponte de Lima",57.16
1608,"1111608","Valença",57
1609,"1111609","Viana do Castelo",57.2
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",57.17
302,"1120302","Barcelos",57.14
303,"1120303","Braga",57
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",57
313,"1120313","Vila Verde",57.1
307,"1130307","Fafe",0
308,"1130308","Guimarães",57
309,"1130309","Póvoa de Lanhoso",57
1314,"1131314","Santo Tirso",0
1318,"1131318","Trofa",0
311,"1130311","Vieira do Minho",0
312,"1130312","Vila Nova de Famalicão",57.18
314,"1130314","Vizela",57
107,"1140107","Espinho",0
1304,"1141304","Gondomar",57
1306,"1141306","Maia",0
1308,"1141308","Matosinhos",0
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",0
1316,"1141316","Vila do Conde",0
1317,"1141317","Vila Nova de Gaia",57.25
1301,"1151301","Amarante",57
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",57
106,"1150106","Castelo de Paiva",57
305,"1150305","Celorico de Basto",57
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",57
1305,"1151305","Lousada",57
1307,"1151307","Marco de Canaveses",57
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",57
1311,"1151311","Penafiel",57
1813,"1151813","Resende",0
1709,"1151709","Ribeira de Pena",0
104,"1160104","Arouca",0
113,"1160113","Oliveira de Azeméis",57
109,"1160109","Santa Maria da Feira",57
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",0
1801,"1171801","Armamar",0
403,"1170403","Carrazeda de Ansiães",90
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",0
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",90
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",0
1710,"1171710","Sabrosa",90
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",0
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",0
1820,"1171820","Tarouca",0
