Muni_ID,ID,Muni,_irrig_ns
1601,1111601,Arcos de Valdevez,12.582226799
1602,1111602,Caminha,27.708072966
1603,1111603,Melgaço,8.060196837
1604,1111604,Monção,24.452611873
1605,1111605,Paredes de Coura,28.275231845
1606,1111606,Ponte da Barca,27.648058524
1607,1111607,Ponte de Lima,75.84482617
1608,1111608,Valença,42.804605923
1609,1111609,Viana do Castelo,64.523710954
1610,1111610,Vila Nova de Cerveira,43.689357104
301,1120301,Amares,106.21954491
302,1120302,Barcelos,129.71891658
303,1120303,Braga,157.788945725
306,1120306,Esposende,173.40882242
310,1120310,Terras de Bouro,14.510571442
313,1120313,Vila Verde,98.82498129
307,1130307,Fafe,106.07735149
308,1130308,Guimarães,145.58054525
309,1130309,Póvoa de Lanhoso,107.18736234
1314,1131314,Santo Tirso,120.854076702
1318,1131318,Trofa,133.47394802
311,1130311,Vieira do Minho,19.199171169
312,1130312,Vila Nova de Famalicão,121.31296662
314,1130314,Vizela,140.584529742
107,1140107,Espinho,112.40385328
1304,1141304,Gondomar,94.189906079
1306,1141306,Maia,122.01992823
1308,1141308,Matosinhos,115.26606292
1312,1141312,Porto,133.228643485
1313,1141313,Póvoa de Varzim,258.92368232
1315,1141315,Valongo,728.20457275
1316,1141316,Vila do Conde,57.36027781
1317,1141317,Vila Nova de Gaia,148.029936786
1301,1151301,Amarante,55.32522103
1302,1151302,Baião,40.077376722
304,1150304,Cabeceiras de Basto,37.502499672
106,1150106,Castelo de Paiva,116.839447205
305,1150305,Celorico de Basto,104.921159166
1804,1151804,Cinfães,48.79623967
1303,1151303,Felgueiras,94.925501247
1305,1151305,Lousada,133.483133198
1307,1151307,Marco de Canaveses,72.141104972
1705,1151705,Mondim de Basto,29.831764978
1309,1151309,Paços de Ferreira,125.441391529
1310,1151310,Paredes,113.252455999
1311,1151311,Penafiel,92.390659887
1813,1151813,Resende,35.648738081
1709,1151709,Ribeira de Pena,28.100478821
104,1160104,Arouca,49.343040052
113,1160113,Oliveira de Azeméis,101.44874266
109,1160109,Santa Maria da Feira,151.021130167
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,55.727457431
1701,1171701,Alijó,14.990721006
1801,1171801,Armamar,20.205858507
403,1170403,Carrazeda de Ansiães,20.716494635
404,1170404,Freixo de Espada à Cinta,18.482549438
1805,1171805,Lamego,15.572107186
1704,1171704,Mesão Frio,-0.645245384
1807,1171807,Moimenta da Beira,16.726544733
1812,1171812,Penedono,63.588195472
1708,1171708,Peso da Régua,15.232917916
1710,1171710,Sabrosa,37.323537781
1711,1171711,Santa Marta de Penaguião,15.326459524
1815,1171815,São João da Pesqueira,22.71721344
1818,1171818,Sernancelhe,42.074119468
1819,1171819,Tabuaço,28.093769353
