"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",71
"2",1602,"1111602","Caminha",16
"3",1603,"1111603","Melgaço",23
"4",1604,"1111604","Monção",48
"5",1605,"1111605","Paredes de Coura",56
"6",1606,"1111606","Ponte da Barca",43
"7",1607,"1111607","Ponte de Lima",129
"8",1608,"1111608","Valença",20
"9",1609,"1111609","Viana do Castelo",120
"10",1610,"1111610","Vila Nova de Cerveira",10
"11",301,"1120301","Amares",4
"12",302,"1120302","Barcelos",85
"13",303,"1120303","Braga",52
"14",306,"1120306","Esposende",44
"15",310,"1120310","Terras de Bouro",6
"16",313,"1120313","Vila Verde",83
"17",307,"1130307","Fafe",71
"18",308,"1130308","Guimarães",53
"19",309,"1130309","Póvoa de Lanhoso",15
"20",1314,"1131314","Santo Tirso",76
"21",1318,"1131318","Trofa",33
"22",311,"1130311","Vieira do Minho",27
"23",312,"1130312","Vila Nova de Famalicão",33
"24",314,"1130314","Vizela",1
"25",107,"1140107","Espinho",3
"26",1304,"1141304","Gondomar",109
"27",1306,"1141306","Maia",110
"28",1308,"1141308","Matosinhos",40
"29",1312,"1141312","Porto",1
"30",1313,"1141313","Póvoa de Varzim",28
"31",1315,"1141315","Valongo",54
"32",1316,"1141316","Vila do Conde",62
"33",1317,"1141317","Vila Nova de Gaia",25
"34",1301,"1151301","Amarante",32
"35",1302,"1151302","Baião",12
"36",304,"1150304","Cabeceiras de Basto",29
"37",106,"1150106","Castelo de Paiva",7
"38",305,"1150305","Celorico de Basto",17
"39",1804,"1151804","Cinfães",39
"40",1303,"1151303","Felgueiras",43
"41",1305,"1151305","Lousada",25
"42",1307,"1151307","Marco de Canaveses",14
"43",1705,"1151705","Mondim de Basto",1
"44",1309,"1151309","Paços de Ferreira",26
"45",1310,"1151310","Paredes",96
"46",1311,"1151311","Penafiel",43
"47",1813,"1151813","Resende",59
"48",1709,"1151709","Ribeira de Pena",5
"49",104,"1160104","Arouca",19
"50",113,"1160113","Oliveira de Azeméis",4
"51",109,"1160109","Santa Maria da Feira",39
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",0
"54",1701,"1171701","Alijó",21
"55",1801,"1171801","Armamar",44
"56",403,"1170403","Carrazeda de Ansiães",129
"57",404,"1170404","Freixo de Espada à Cinta",12
"58",1805,"1171805","Lamego",46
"59",1704,"1171704","Mesão Frio",0
"60",1807,"1171807","Moimenta da Beira",112
"61",1812,"1171812","Penedono",54
"62",1708,"1171708","Peso da Régua",3
"63",1710,"1171710","Sabrosa",23
"64",1711,"1171711","Santa Marta de Penaguião",0
"65",1815,"1171815","São João da Pesqueira",32
"66",1818,"1171818","Sernancelhe",165
"67",1819,"1171819","Tabuaço",110
"68",1820,"1171820","Tarouca",32
"69",409,"1170409","Torre de Moncorvo",40
"70",410,"1170410","Vila Flor",13
"71",914,"1170914","Vila Nova de Foz Côa",2
"72",1714,"1171714","Vila Real",176
"73",401,"1180401","Alfândega da Fé",3
"74",1702,"1181702","Boticas",270
"75",402,"1180402","Bragança",304
"76",1703,"1181703","Chaves",1256
"77",405,"1180405","Macedo de Cavaleiros",60
"78",406,"1180406","Miranda do Douro",119
"79",407,"1180407","Mirandela",66
"80",408,"1180408","Mogadouro",67
"81",1706,"1181706","Montalegre",616
"82",1707,"1181707","Murça",52
"83",1712,"1181712","Valpaços",489
"84",1713,"1181713","Vila Pouca de Aguiar",291
"85",411,"1180411","Vimioso",105
"86",412,"1180412","Vinhais",216
"87",101,"1610101","Águeda",63
"88",102,"1610102","Albergaria-a-Velha",46
"89",103,"1610103","Anadia",231
"90",105,"1610105","Aveiro",83
"91",108,"1610108","Estarreja",4
"92",110,"1610110","Ílhavo",76
"93",111,"1610111","Mealhada",54
"94",112,"1610112","Murtosa",1
"95",114,"1610114","Oliveira do Bairro",134
"96",115,"1610115","Ovar",2
"97",117,"1610117","Sever do Vouga",12
"98",118,"1610118","Vagos",277
"99",602,"1620602","Cantanhede",219
"100",603,"1620603","Coimbra",103
"101",604,"1620604","Condeixa-a-Nova",27
"102",605,"1620605","Figueira da Foz",25
"103",608,"1620608","Mira",133
"104",610,"1620610","Montemor-o-Velho",109
"105",613,"1620613","Penacova",52
"106",615,"1620615","Soure",21
"107",1004,"1631004","Batalha",19
"108",1009,"1631009","Leiria",47
"109",1010,"1631010","Marinha Grande",2
"110",1015,"1631015","Pombal",54
"111",1016,"1631016","Porto de Mós",29
"112",1002,"1641002","Alvaiázere",2
"113",1003,"1641003","Ansião",0
"114",601,"1640601","Arganil",9
"115",1007,"1641007","Castanheira de Pêra",3
