"Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","microaspersion"
610,"1620610","Montemor-o-Velho",7500,5000,4697,0,0,4110,4110
613,"1620613","Penacova",7500,5000,4697,0,0,4110,4110
615,"1620615","Soure",7500,5000,4697,0,0,4110,4110
1004,"1631004","Batalha",7500,5000,4697,0,0,4110,4110
1009,"1631009","Leiria",7500,5000,4697,0,0,4110,4110
1010,"1631010","Marinha Grande",7500,5000,4697,0,0,4110,4110
1015,"1631015","Pombal",7500,5000,4697,0,0,4110,4110
1016,"1631016","Porto de Mós",7500,5000,4697,0,0,4110,4110
1002,"1641002","Alvaiázere",7500,5000,4697,0,0,4110,4110
1003,"1641003","Ansião",7500,5000,4697,0,0,4110,4110
601,"1640601","Arganil",7500,5000,4697,0,0,4110,4110
1007,"1641007","Castanheira de Pêra",7500,5000,4697,0,0,4110,4110
1008,"1641008","Figueiró dos Vinhos",7500,5000,4697,0,0,4110,4110
606,"1640606","Góis",7500,5000,4697,0,0,4110,4110
607,"1640607","Lousã",7500,5000,4697,0,0,4110,4110
609,"1640609","Miranda do Corvo",7500,5000,4697,0,0,4110,4110
611,"1640611","Oliveira do Hospital",7500,5000,4697,0,0,4110,4110
612,"1640612","Pampilhosa da Serra",7500,5000,4697,0,0,4110,4110
1013,"1641013","Pedrógão Grande",7500,5000,4697,0,0,4110,4110
614,"1640614","Penela",7500,5000,4697,0,0,4110,4110
616,"1640616","Tábua",7500,5000,4697,0,0,4110,4110
617,"1640617","Vila Nova de Poiares",7500,5000,4697,0,0,4110,4110
901,"1650901","Aguiar da Beira",7500,5000,4697,0,0,4110,4110
1802,"1651802","Carregal do Sal",7500,5000,4697,0,0,4110,4110
1803,"1651803","Castro Daire",7500,5000,4697,0,0,4110,4110
1806,"1651806","Mangualde",7500,5000,4697,0,0,4110,4110
1808,"1651808","Mortágua",7500,5000,4697,0,0,4110,4110
1809,"1651809","Nelas",7500,5000,4697,0,0,4110,4110
1810,"1651810","Oliveira de Frades",7500,5000,4697,0,0,4110,4110
1811,"1651811","Penalva do Castelo",7500,5000,4697,0,0,4110,4110
1814,"1651814","Santa Comba Dão",7500,5000,4697,0,0,4110,4110
1816,"1651816","São Pedro do Sul",7500,5000,4697,0,0,4110,4110
1817,"1651817","Sátão",7500,5000,4697,0,0,4110,4110
1821,"1651821","Tondela",7500,5000,4697,0,0,4110,4110
1822,"1651822","Vila Nova de Paiva",7500,5000,4697,0,0,4110,4110
1823,"1651823","Viseu",7500,5000,6231,0,0,5452,5452
1824,"1651824","Vouzela",7500,5000,4697,0,0,4110,4110
1413,"1661413","Mação",7500,5000,6231,0,0,5452,5452
506,"1660506","Oleiros",7500,5000,4697,0,0,4110,4110
508,"1660508","Proença-a-Nova",7500,5000,4697,0,0,4110,4110
509,"1660509","Sertã",7500,5000,4697,0,0,4110,4110
510,"1660510","Vila de Rei",7500,5000,4697,0,0,4110,4110
905,"1670905","Fornos de Algodres",7500,5000,4697,0,0,4110,4110
906,"1670906","Gouveia",7500,5000,4697,0,0,4110,4110
912,"1670912","Seia",7500,5000,4697,0,0,4110,4110
902,"1680902","Almeida",7500,5000,4697,0,0,4110,4110
903,"1680903","Celorico da Beira",7500,5000,4697,0,0,4110,4110
904,"1680904","Figueira de Castelo Rodrigo",7500,5000,4697,0,0,4110,4110
907,"1680907","Guarda",7500,5000,4697,0,0,4110,4110
908,"1680908","Manteigas",7500,5000,4697,0,0,4110,4110
909,"1680909","Mêda",7500,5000,4697,0,0,4110,4110
910,"1680910","Pinhel",7500,5000,4697,0,0,4110,4110
911,"1680911","Sabugal",7500,5000,4697,0,0,4110,4110
913,"1680913","Trancoso",7500,5000,6231,0,0,5452,5452
502,"1690502","Castelo Branco",7500,5000,6231,0,0,5452,5452
505,"1690505","Idanha-a-Nova",7500,5000,6231,0,0,5452,5452
507,"1690507","Penamacor",7500,5000,6231,0,0,5452,5452
511,"1690511","Vila Velha de Ródão",7500,5000,6231,0,0,5452,5452
501,"16A0501","Belmonte",7500,5000,6231,0,0,5452,5452
503,"16A0503","Covilhã",7500,5000,6231,0,0,5452,5452
504,"16A0504","Fundão",7500,5000,6231,0,0,5452,5452
1001,"16B1001","Alcobaça",7500,5000,6231,0,0,5452,5452
1101,"16B1101","Alenquer",7500,5000,6231,0,0,5452,5452
1102,"16B1102","Arruda dos Vinhos",7500,5000,6231,0,0,5452,5452
1005,"16B1005","Bombarral",7500,5000,6231,0,0,5452,5452
1104,"16B1104","Cadaval",7500,5000,6231,0,0,5452,5452
1006,"16B1006","Caldas da Rainha",7500,5000,6231,0,0,5452,5452
1108,"16B1108","Lourinhã",7500,5000,6231,0,0,5452,5452
1011,"16B1011","Nazaré",7500,5000,6231,0,0,5452,5452
1012,"16B1012","Óbidos",7500,5000,6231,0,0,5452,5452
1014,"16B1014","Peniche",7500,5000,6231,0,0,5452,5452
1112,"16B1112","Sobral de Monte Agraço",7500,5000,6231,0,0,5452,5452
1113,"16B1113","Torres Vedras",7500,5000,6231,0,0,5452,5452
1401,"16C1401","Abrantes",7500,5000,6231,0,0,5452,5452
1402,"16C1402","Alcanena",7500,5000,4697,0,0,4110,4110
1408,"16C1408","Constância",7500,5000,4697,0,0,4110,4110
1410,"16C1410","Entroncamento",7500,5000,4697,0,0,4110,4110
1411,"16C1411","Ferreira do Zêzere",7500,5000,4697,0,0,4110,4110
1421,"16C1421","Ourém",7500,5000,4697,0,0,4110,4110
1417,"16C1417","Sardoal",7500,5000,4697,0,0,4110,4110
1418,"16C1418","Tomar",7500,5000,7345,0,0,6427,6427
1419,"16C1419","Torres Novas",7500,5000,4697,0,0,4110,4110
1420,"16C1420","Vila Nova da Barquinha",7500,5000,4697,0,0,4110,4110
1115,"1711115","Amadora",7500,5000,7345,0,0,6427,6427
1105,"1711105","Cascais",7500,5000,7345,0,0,6427,6427
1106,"1711106","Lisboa",7500,5000,7345,0,0,6427,6427
1107,"1711107","Loures",7500,5000,7345,0,0,6427,6427
1109,"1711109","Mafra",7500,5000,7345,0,0,6427,6427
1116,"1711116","Odivelas",7500,5000,7345,0,0,6427,6427
1110,"1711110","Oeiras",7500,5000,7345,0,0,6427,6427
1111,"1711111","Sintra",7500,5000,7345,0,0,6427,6427
1114,"1711114","Vila Franca de Xira",7500,5000,7345,0,0,6427,6427
1502,"1721502","Alcochete",7500,5000,7345,0,0,6427,6427
1503,"1721503","Almada",7500,5000,7345,0,0,6427,6427
1504,"1721504","Barreiro",7500,5000,7345,0,0,6427,6427
1506,"1721506","Moita",7500,5000,7345,0,0,6427,6427
1507,"1721507","Montijo",7500,5000,7345,0,0,6427,6427
1508,"1721508","Palmela",7500,5000,7345,0,0,6427,6427
1510,"1721510","Seixal",7500,5000,7345,0,0,6427,6427
1511,"1721511","Sesimbra",7500,5000,7345,0,0,6427,6427
1512,"1721512","Setúbal",7500,5000,7345,0,0,6427,6427
1501,"1811501","Alcácer do Sal",7500,5000,7345,0,0,6427,6427
1505,"1811505","Grândola",7500,5000,7345,0,0,6427,6427
211,"1810211","Odemira",7500,5000,7345,0,0,6427,6427
1509,"1811509","Santiago do Cacém",7500,5000,7345,0,0,6427,6427
1513,"1811513","Sines",7500,5000,7345,0,0,6427,6427
1201,"1821201","Alter do Chão",7500,5000,7345,0,0,6427,6427
1202,"1821202","Arronches",7500,5000,7345,0,0,6427,6427
1203,"1821203","Avis",7500,5000,7345,0,0,6427,6427
1204,"1821204","Campo Maior",7500,5000,7345,0,0,6427,6427
1205,"1821205","Castelo de Vide",7500,5000,7345,0,0,6427,6427
1206,"1821206","Crato",7500,5000,7345,0,0,6427,6427
1207,"1821207","Elvas",7500,5000,7345,0,0,6427,6427
1208,"1821208","Fronteira",7500,5000,7345,0,0,6427,6427
1209,"1821209","Gavião",7500,5000,7345,0,0,6427,6427
1210,"1821210","Marvão",7500,5000,7345,0,0,6427,6427
1211,"1821211","Monforte",7500,5000,7345,0,0,6427,6427
707,"1820707","Mora",7500,5000,7345,0,0,6427,6427
1212,"1821212","Nisa",7500,5000,7345,0,0,6427,6427
1213,"1821213","Ponte de Sor",7500,5000,7345,0,0,6427,6427
1214,"1821214","Portalegre",7500,5000,7345,0,0,6427,6427
701,"1830701","Alandroal",7500,5000,7345,0,0,6427,6427
702,"1830702","Arraiolos",7500,5000,7345,0,0,6427,6427
703,"1830703","Borba",7500,5000,7345,0,0,6427,6427
704,"1830704","Estremoz",7500,5000,7345,0,0,6427,6427
705,"1830705","Évora",7500,5000,7345,0,0,6427,6427
706,"1830706","Montemor-o-Novo",7500,5000,7345,0,0,6427,6427
708,"1830708","Mourão",7500,5000,7345,0,0,6427,6427
709,"1830709","Portel",7500,5000,7345,0,0,6427,6427
710,"1830710","Redondo",7500,5000,7345,0,0,6427,6427
711,"1830711","Reguengos de Monsaraz",7500,5000,7345,0,0,6427,6427
1215,"1831215","Sousel",7500,5000,7345,0,0,6427,6427
712,"1830712","Vendas Novas",7500,5000,7345,0,0,6427,6427
713,"1830713","Viana do Alentejo",7500,5000,7345,0,0,6427,6427
714,"1830714","Vila Viçosa",7500,5000,7345,0,0,6427,6427
201,"1840201","Aljustrel",7500,5000,7345,0,0,6427,6427
202,"1840202","Almodôvar",7500,5000,7345,0,0,6427,6427
203,"1840203","Alvito",7500,5000,7345,0,0,6427,6427
204,"1840204","Barrancos",7500,5000,7345,0,0,6427,6427
205,"1840205","Beja",7500,5000,4697,0,0,4110,4110
206,"1840206","Castro Verde",7500,5000,7345,0,0,6427,6427
207,"1840207","Cuba",7500,5000,7345,0,0,6427,6427
208,"1840208","Ferreira do Alentejo",7500,5000,7345,0,0,6427,6427
209,"1840209","Mértola",7500,5000,7345,0,0,6427,6427
210,"1840210","Moura",7500,5000,7345,0,0,6427,6427
212,"1840212","Ourique",7500,5000,7345,0,0,6427,6427
213,"1840213","Serpa",7500,5000,7345,0,0,6427,6427
214,"1840214","Vidigueira",7500,5000,4697,0,0,4110,4110
1403,"1851403","Almeirim",7500,5000,7345,0,0,6427,6427
1404,"1851404","Alpiarça",7500,5000,7345,0,0,6427,6427
1103,"1851103","Azambuja",7500,5000,6231,0,0,5452,5452
1405,"1851405","Benavente",7500,5000,6231,0,0,5452,5452
1406,"1851406","Cartaxo",7500,5000,6231,0,0,5452,5452
1407,"1851407","Chamusca",7500,5000,4697,0,0,4110,4110
1409,"1851409","Coruche",7500,5000,4697,0,0,4110,4110
1412,"1851412","Golegã",7500,5000,4697,0,0,4110,4110
1414,"1851414","Rio Maior",7500,5000,4697,0,0,4110,4110
1415,"1851415","Salvaterra de Magos",7500,5000,4697,0,0,4110,4110
1416,"1851416","Santarém",7500,5000,4697,0,0,4110,4110
801,"1500801","Albufeira",7500,5000,4697,0,0,4110,4110
802,"1500802","Alcoutim",7500,5000,4697,0,0,4110,4110
803,"1500803","Aljezur",7500,5000,4697,0,0,4110,4110
804,"1500804","Castro Marim",7500,5000,4697,0,0,4110,4110
805,"1500805","Faro",7500,5000,4697,0,0,4110,4110
806,"1500806","Lagoa",7500,5000,4697,0,0,4110,4110
807,"1500807","Lagos",7500,5000,7345,0,0,6427,6427
808,"1500808","Loulé",7500,5000,4697,0,0,4110,4110
809,"1500809","Monchique",7500,5000,7345,0,0,6427,6427
810,"1500810","Olhão",7500,5000,7345,0,0,6427,6427
811,"1500811","Portimão",7500,5000,4697,0,0,4110,4110
812,"1500812","São Brás de Alportel",7500,5000,6231,0,0,5452,5452
813,"1500813","Silves",7500,5000,4697,0,0,4110,4110
814,"1500814","Tavira",7500,5000,4697,0,0,4110,4110
815,"1500815","Vila do Bispo",7500,5000,7345,0,0,6427,6427
816,"1500816","Vila Real de Santo António",7500,5000,4697,0,0,4110,4110
